HGNC ID	Approved Symbol	Approved Name	Status	Previous Symbols	Synonyms	Chromosome	Accession Numbers	RefSeq IDs	Gene Family Tag	Gene family description	Gene family ID
8196	OR1F2P	olfactory receptor family 1 subfamily F member 2 pseudogene	Approved	OR1F3P, OR1F2	OLFMF2	16p13.3	AJ003145	NR_002169	OR1	Olfactory receptors, family 1	147
8204	OR1G1	olfactory receptor family 1 subfamily G member 1	Approved	OR1G2	OR17-209	17p13.3	U04689		OR1	Olfactory receptors, family 1	147
8206	OR1H1P	olfactory receptor family 1 subfamily H member 1 pseudogene	Approved	OR1H1	OST26	9q33.2		NG_004138	OR1	Olfactory receptors, family 1	147
8207	OR1I1	olfactory receptor family 1 subfamily I member 1	Approved		OR1I1P, OR19-20, OR1I1Q	19p13.1	AC004794		OR1	Olfactory receptors, family 1	147
8208	OR1J1	olfactory receptor family 1 subfamily J member 1	Approved		hg32	9q33.2	AL353767		OR1	Olfactory receptors, family 1	147
8209	OR1J2	olfactory receptor family 1 subfamily J member 2	Approved	OR1J3, OR1J5	OST044	9q33.2			OR1	Olfactory receptors, family 1	147
8211	OR1J4	olfactory receptor family 1 subfamily J member 4	Approved		HTPCRX01, HSHTPCRX01	9q33.2	X64979		OR1	Olfactory receptors, family 1	147
8212	OR1K1	olfactory receptor family 1 subfamily K member 1	Approved		hg99, MNAB	9q33	AL359512		OR1	Olfactory receptors, family 1	147
8213	OR1L1	olfactory receptor family 1 subfamily L member 1	Approved	OR1L2	OR9-C	9q33.2			OR1	Olfactory receptors, family 1	147
8215	OR1L3	olfactory receptor family 1 subfamily L member 3	Approved		OR9-D	9q33.2			OR1	Olfactory receptors, family 1	147
8216	OR1L4	olfactory receptor family 1 subfamily L member 4	Approved	OR1L5	OR9-E	9q33.2			OR1	Olfactory receptors, family 1	147
8218	OR1L6	olfactory receptor family 1 subfamily L member 6	Approved	OR1L7		9q33.2			OR1	Olfactory receptors, family 1	147
15110	OR1L8	olfactory receptor family 1 subfamily L member 8	Approved			9q33.2			OR1	Olfactory receptors, family 1	147
8220	OR1M1	olfactory receptor family 1 subfamily M member 1	Approved		OR19-6	19p13.2			OR1	Olfactory receptors, family 1	147
31244	OR1M4P	olfactory receptor family 1 subfamily M member 4 pseudogene	Approved			19p13.2		NG_004407	OR1	Olfactory receptors, family 1	147
8221	OR1N1	olfactory receptor family 1 subfamily N member 1	Approved	OR1N3	OR1-26	9q33.2	U86216		OR1	Olfactory receptors, family 1	147
15111	OR1N2	olfactory receptor family 1 subfamily N member 2	Approved			9q33.2			OR1	Olfactory receptors, family 1	147
8222	OR1P1	olfactory receptor family 1 subfamily P member 1 (gene/pseudogene)	Approved	OR1P1P	OR17-208	17p13.3	AF087927	NG_002153	OR1	Olfactory receptors, family 1	147
8223	OR1Q1	olfactory receptor family 1 subfamily Q member 1	Approved	OR1Q2, OR1Q3	OST226, OR9-A, HSTPCR106, OST226OR9-A, TPCR106	9q33.2			OR1	Olfactory receptors, family 1	147
8226	OR1R1P	olfactory receptor family 1 subfamily R member 1 pseudogene	Approved	OR20A1P, OR1R2P, OR1R3P	OR17-1	17p13.3			OR1	Olfactory receptors, family 1	147
8227	OR1S1	olfactory receptor family 1 subfamily S member 1 (gene/pseudogene)	Approved		OST034	11q12.1	BK004299	NM_001004458	OR1	Olfactory receptors, family 1	147
15141	OR1S2	olfactory receptor family 1 subfamily S member 2	Approved			11q12.1	BK004297	NM_001004459	OR1	Olfactory receptors, family 1	147
15062	OR1X1P	olfactory receptor family 1 subfamily X member 1 pseudogene	Approved			5q35.2	AC008454	NG_004630	OR1	Olfactory receptors, family 1	147
31245	OR1X5P	olfactory receptor family 1 subfamily X member 5 pseudogene	Approved			5q35.3			OR1	Olfactory receptors, family 1	147
8161	OR10A2	olfactory receptor family 10 subfamily A member 2	Approved	OR10A2P	OST363	11p15.4	BK004293	NM_001004460	OR10	Olfactory receptors, family 10	157
8162	OR10A3	olfactory receptor family 10 subfamily A member 3	Approved		HTPCRX12, HSHTPCRX12	11p15.4	BK004404	NM_001003745	OR10	Olfactory receptors, family 10	157
15130	OR10A4	olfactory receptor family 10 subfamily A member 4	Approved	OR10A4P		11p15.4	AF209506	NM_207186	OR10	Olfactory receptors, family 10	157
15131	OR10A5	olfactory receptor family 10 subfamily A member 5	Approved	OR10A1	OR11-403, JCG6	11p15.4	AF324499	NM_178168	OR10	Olfactory receptors, family 10	157
15132	OR10A6	olfactory receptor family 10 subfamily A member 6 (gene/pseudogene)	Approved			11p15.4	AB065515	NM_001004461	OR10	Olfactory receptors, family 10	157
15329	OR10A7	olfactory receptor family 10 subfamily A member 7	Approved			12q13.2	BK004327		OR10	Olfactory receptors, family 10	157
14989	OR10AA1P	olfactory receptor family 10 subfamily AA member 1 pseudogene	Approved			1q23.1			OR10	Olfactory receptors, family 10	157
14804	OR10AB1P	olfactory receptor family 10 subfamily AB member 1 pseudogene	Approved			11p15.4			OR10	Olfactory receptors, family 10	157
14758	OR10AC1	olfactory receptor family 10 subfamily AC member 1 (gene/pseudogene)	Approved	OR10AC1P		7q35			OR10	Olfactory receptors, family 10	157
14819	OR10AD1	olfactory receptor family 10 subfamily AD member 1	Approved	OR10AD1P		12q13.11			OR10	Olfactory receptors, family 10	157
14990	OR10AE1P	olfactory receptor family 10 subfamily AE member 1 pseudogene	Approved	OR10AE2P		1q23.2			OR10	Olfactory receptors, family 10	157
31235	OR10AE3P	olfactory receptor family 10 subfamily AE member 3 pseudogene	Approved			12q13.2			OR10	Olfactory receptors, family 10	157
19606	OR10AF1P	olfactory receptor family 10 subfamily AF member 1 pseudogene	Approved			11q12		NG_004298	OR10	Olfactory receptors, family 10	157
19607	OR10AG1	olfactory receptor family 10 subfamily AG member 1	Approved			11q12.1	AB065594	NM_001005491	OR10	Olfactory receptors, family 10	157
19647	OR10AH1P	olfactory receptor family 10 subfamily AH member 1 pseudogene	Approved			7p22.1		NG_004397	OR10	Olfactory receptors, family 10	157
31236	OR10AK1P	olfactory receptor family 10 subfamily AK member 1 pseudogene	Approved			11q			OR10	Olfactory receptors, family 10	157
8163	OR10B1P	olfactory receptor family 10 subfamily B member 1 pseudogene	Approved	OR10B2		19p13.12	AC003956		OR10	Olfactory receptors, family 10	157
8165	OR10C1	olfactory receptor family 10 subfamily C member 1 (gene/pseudogene)	Approved	OR10C2	hs6M1-17, OR10C1P	6p22.1			OR10	Olfactory receptors, family 10	157
8166	OR10D1P	olfactory receptor family 10 subfamily D member 1 pseudogene	Approved	OR10D2P	OST074, HTPCRX03	11q24.2	X64981		OR10	Olfactory receptors, family 10	157
8168	OR10D3	olfactory receptor family 10 subfamily D member 3 (putative)	Approved	OR10D3P	HTPCRX09	11q24.2	X64983		OR10	Olfactory receptors, family 10	157
14770	OR10D4P	olfactory receptor family 10 subfamily D member 4 pseudogene	Approved	OR10D4, OR10D6P		11q24.2			OR10	Olfactory receptors, family 10	157
14838	OR10D5P	olfactory receptor family 10 subfamily D member 5 pseudogene	Approved			11q24.2			OR10	Olfactory receptors, family 10	157
8169	OR10G1P	olfactory receptor family 10 subfamily G member 1 pseudogene	Approved			14q11.2			OR10	Olfactory receptors, family 10	157
8170	OR10G2	olfactory receptor family 10 subfamily G member 2	Approved			14q11.2			OR10	Olfactory receptors, family 10	157
8171	OR10G3	olfactory receptor family 10 subfamily G member 3	Approved			14q11.2			OR10	Olfactory receptors, family 10	157
14809	OR10G4	olfactory receptor family 10 subfamily G member 4	Approved			11q24.2	AB065757	NM_001004462	OR10	Olfactory receptors, family 10	157
14811	OR10G5P	olfactory receptor family 10 subfamily G member 5 pseudogene	Approved			11q24.2			OR10	Olfactory receptors, family 10	157
14836	OR10G6	olfactory receptor family 10 subfamily G member 6	Approved	OR10G6P	OR10G6Q	11q24.1	AB065508	NG_002255	OR10	Olfactory receptors, family 10	157
14842	OR10G7	olfactory receptor family 10 subfamily G member 7	Approved			11q24.2	AB065754	NM_001004463	OR10	Olfactory receptors, family 10	157
14845	OR10G8	olfactory receptor family 10 subfamily G member 8	Approved			11q24.2	AB065755	NM_001004464	OR10	Olfactory receptors, family 10	157
15129	OR10G9	olfactory receptor family 10 subfamily G member 9	Approved	OR10G10P		11q24.2	AB065756	NM_001001953	OR10	Olfactory receptors, family 10	157
8172	OR10H1	olfactory receptor family 10 subfamily H member 1	Approved			19p13.1	AC004510		OR10	Olfactory receptors, family 10	157
8173	OR10H2	olfactory receptor family 10 subfamily H member 2	Approved			19p13.1	AC004597		OR10	Olfactory receptors, family 10	157
8174	OR10H3	olfactory receptor family 10 subfamily H member 3	Approved			19p13.1			OR10	Olfactory receptors, family 10	157
15388	OR10H4	olfactory receptor family 10 subfamily H member 4	Approved			19p13.12	AC011517		OR10	Olfactory receptors, family 10	157
15389	OR10H5	olfactory receptor family 10 subfamily H member 5	Approved			19p13.12	AC011537		OR10	Olfactory receptors, family 10	157
8175	OR10J1	olfactory receptor family 10 subfamily J member 1	Approved		HGMP07J, HSHGMP07J	1q23.2	X64995	NM_012351	OR10	Olfactory receptors, family 10	157
14991	OR10J2P	olfactory receptor family 10 subfamily J member 2 pseudogene	Approved			1q23.2			OR10	Olfactory receptors, family 10	157
14992	OR10J3	olfactory receptor family 10 subfamily J member 3	Approved	OR10J3P		1q23.2			OR10	Olfactory receptors, family 10	157
15408	OR10J4	olfactory receptor family 10 subfamily J member 4 (gene/pseudogene)	Approved	OR10J4P	OST717	1q23.2			OR10	Olfactory receptors, family 10	157
14993	OR10J5	olfactory receptor family 10 subfamily J member 5	Approved			1q23.2		NM_001004469	OR10	Olfactory receptors, family 10	157
14994	OR10J6P	olfactory receptor family 10 subfamily J member 6 pseudogene	Approved	OR10J6		1q23.2			OR10	Olfactory receptors, family 10	157
19637	OR10J7P	olfactory receptor family 10 subfamily J member 7 pseudogene	Approved			1q23.2		NG_004365	OR10	Olfactory receptors, family 10	157
19638	OR10J8P	olfactory receptor family 10 subfamily J member 8 pseudogene	Approved			1q23.2		NG_004308	OR10	Olfactory receptors, family 10	157
19639	OR10J9P	olfactory receptor family 10 subfamily J member 9 pseudogene	Approved			1q23.2		NG_004366	OR10	Olfactory receptors, family 10	157
14693	OR10K1	olfactory receptor family 10 subfamily K member 1	Approved			1q23.1	AP002532		OR10	Olfactory receptors, family 10	157
14826	OR10K2	olfactory receptor family 10 subfamily K member 2	Approved			1q23.1	AB065642	NM_001004476	OR10	Olfactory receptors, family 10	157
14689	OR10N1P	olfactory receptor family 10 subfamily N member 1 pseudogene	Approved			11q24.2			OR10	Olfactory receptors, family 10	157
15378	OR10P1	olfactory receptor family 10 subfamily P member 1	Approved	OR10P1P, OR10P2P, OR10P3P	OST701	12q13.2	BK004259		OR10	Olfactory receptors, family 10	157
15134	OR10Q1	olfactory receptor family 10 subfamily Q member 1	Approved			11q12.1	AB065735	NM_001004471	OR10	Olfactory receptors, family 10	157
15135	OR10Q2P	olfactory receptor family 10 subfamily Q member 2 pseudogene	Approved			11q12.1			OR10	Olfactory receptors, family 10	157
14813	OR10R1P	olfactory receptor family 10 subfamily R member 1 pseudogene	Approved			1q23.1			OR10	Olfactory receptors, family 10	157
14820	OR10R2	olfactory receptor family 10 subfamily R member 2	Approved		OR10R2Q	1q23.1	AB065640	NM_001004472	OR10	Olfactory receptors, family 10	157
14829	OR10R3P	olfactory receptor family 10 subfamily R member 3 pseudogene	Approved			1q23.1			OR10	Olfactory receptors, family 10	157
14807	OR10S1	olfactory receptor family 10 subfamily S member 1	Approved			11q24.1	BK004509	NM_001004474	OR10	Olfactory receptors, family 10	157
14812	OR10T1P	olfactory receptor family 10 subfamily T member 1 pseudogene	Approved			1q23.1			OR10	Olfactory receptors, family 10	157
14816	OR10T2	olfactory receptor family 10 subfamily T member 2	Approved			1q23.1	AB065643	NM_001004475	OR10	Olfactory receptors, family 10	157
15332	OR10U1P	olfactory receptor family 10 subfamily U member 1 pseudogene	Approved			12q13.2			OR10	Olfactory receptors, family 10	157
15136	OR10V1	olfactory receptor family 10 subfamily V member 1	Approved			11q12.1	AB065807	NM_001005324	OR10	Olfactory receptors, family 10	157
15137	OR10V2P	olfactory receptor family 10 subfamily V member 2 pseudogene	Approved			11q12.1	AW847973		OR10	Olfactory receptors, family 10	157
15138	OR10V3P	olfactory receptor family 10 subfamily V member 3 pseudogene	Approved			11q12.1			OR10	Olfactory receptors, family 10	157
31237	OR10V7P	olfactory receptor family 10 subfamily V member 7 pseudogene	Approved			14q21.2			OR10	Olfactory receptors, family 10	157
15139	OR10W1	olfactory receptor family 10 subfamily W member 1	Approved	OR10W1P		11q12.1	AB065850	NM_207374	OR10	Olfactory receptors, family 10	157
14995	OR10X1	olfactory receptor family 10 subfamily X member 1 (gene/pseudogene)	Approved	OR10X1P		1q23.1	BK004194	NM_001004477	OR10	Olfactory receptors, family 10	157
15140	OR10Y1P	olfactory receptor family 10 subfamily Y member 1 pseudogene	Approved			11q12.1	AC021809		OR10	Olfactory receptors, family 10	157
14996	OR10Z1	olfactory receptor family 10 subfamily Z member 1	Approved			1q23.1	AB065635	NM_001004478	OR10	Olfactory receptors, family 10	157
8176	OR11A1	olfactory receptor family 11 subfamily A member 1	Approved	OR11A2	hs6M1-18	6p22.2-p21.31			OR11	Olfactory receptors, family 11	159
15345	OR11G1P	olfactory receptor family 11 subfamily G member 1 pseudogene	Approved			14q11.2			OR11	Olfactory receptors, family 11	159
15346	OR11G2	olfactory receptor family 11 subfamily G member 2	Approved			14q11.2			OR11	Olfactory receptors, family 11	159
15404	OR11H1	olfactory receptor family 11 subfamily H member 1	Approved		OR22-1	22q11.1	AP000535, AF399611	NM_001005239	OR11	Olfactory receptors, family 11	159
30738	OR11H12	olfactory receptor family 11 subfamily H member 12	Approved			14q11.2		NM_001013354	OR11	Olfactory receptors, family 11	159
29997	OR11H13P	olfactory receptor family 11 subfamily H member 13 pseudogene	Approved			14q11.2			OR11	Olfactory receptors, family 11	159
14716	OR11H2	olfactory receptor family 11 subfamily H member 2	Approved	OR11H2P, OR11H8P, C14orf15		14q11.2	AB065607, BK004489	NM_001197287	OR11	Olfactory receptors, family 11	159
15367	OR11H3P	olfactory receptor family 11 subfamily H member 3 pseudogene	Approved			15q11.2			OR11	Olfactory receptors, family 11	159
15347	OR11H4	olfactory receptor family 11 subfamily H member 4	Approved			14q11.2			OR11	Olfactory receptors, family 11	159
15348	OR11H5P	olfactory receptor family 11 subfamily H member 5 pseudogene	Approved			14q11.2			OR11	Olfactory receptors, family 11	159
15349	OR11H6	olfactory receptor family 11 subfamily H member 6	Approved			14q11.2			OR11	Olfactory receptors, family 11	159
15350	OR11H7	olfactory receptor family 11 subfamily H member 7 (gene/pseudogene)	Approved	OR11H7P		14q11.2			OR11	Olfactory receptors, family 11	159
14997	OR11I1P	olfactory receptor family 11 subfamily I member 1 pseudogene	Approved	OR11I2P		1p13.3	AC025375		OR11	Olfactory receptors, family 11	159
15369	OR11J1P	olfactory receptor family 11 subfamily J member 1 pseudogene	Approved			15q11.2			OR11	Olfactory receptors, family 11	159
15370	OR11J2P	olfactory receptor family 11 subfamily J member 2 pseudogene	Approved			15q11.2	AC021585		OR11	Olfactory receptors, family 11	159
31238	OR11J5P	olfactory receptor family 11 subfamily J member 5 pseudogene	Approved			15q11.2			OR11	Olfactory receptors, family 11	159
15371	OR11K1P	olfactory receptor family 11 subfamily K member 1 pseudogene	Approved			15q11.2			OR11	Olfactory receptors, family 11	159
19635	OR11K2P	olfactory receptor family 11 subfamily K member 2 pseudogene	Approved			14p13			OR11	Olfactory receptors, family 11	159
14998	OR11L1	olfactory receptor family 11 subfamily L member 1	Approved			1q44	AB065646	NM_001001959	OR11	Olfactory receptors, family 11	159
15333	OR11M1P	olfactory receptor family 11 subfamily M member 1 pseudogene	Approved			12q13.11	AC009775		OR11	Olfactory receptors, family 11	159
19582	OR11N1P	olfactory receptor family 11 subfamily N member 1 pseudogene	Approved			Xq26.2		NG_004381	OR11	Olfactory receptors, family 11	159
19636	OR11P1P	olfactory receptor family 11 subfamily P member 1 pseudogene	Approved			14q11		NG_004302	OR11	Olfactory receptors, family 11	159
31239	OR11Q1P	olfactory receptor family 11 subfamily Q member 1 pseudogene	Approved			Xq26.1			OR11	Olfactory receptors, family 11	159
8177	OR12D1	olfactory receptor family 12 subfamily D member 1 (gene/pseudogene)	Approved	OR12D1P	hs6M1-19	6p22.1			OR12	Olfactory receptors, family 12	160
8178	OR12D2	olfactory receptor family 12 subfamily D member 2 (gene/pseudogene)	Approved		hs6M1-20	6p22.1			OR12	Olfactory receptors, family 12	160
13963	OR12D3	olfactory receptor family 12 subfamily D member 3	Approved		hs6M1-27	6p22.1			OR12	Olfactory receptors, family 12	160
14772	OR13A1	olfactory receptor family 13 subfamily A member 1	Approved			10q11.21	AB065728	NM_001004297	OR13	Olfactory receptors, family 13	162
14699	OR13C1P	olfactory receptor family 13 subfamily C member 1 pseudogene	Approved			9q31.1			OR13	Olfactory receptors, family 13	162
14701	OR13C2	olfactory receptor family 13 subfamily C member 2	Approved			9q31.1		NM_001004481	OR13	Olfactory receptors, family 13	162
14704	OR13C3	olfactory receptor family 13 subfamily C member 3	Approved			9q31.1			OR13	Olfactory receptors, family 13	162
14722	OR13C4	olfactory receptor family 13 subfamily C member 4	Approved			9q31.1			OR13	Olfactory receptors, family 13	162
15100	OR13C5	olfactory receptor family 13 subfamily C member 5	Approved			9q31.1		NM_001004482	OR13	Olfactory receptors, family 13	162
15101	OR13C6P	olfactory receptor family 13 subfamily C member 6 pseudogene	Approved			9p13.3			OR13	Olfactory receptors, family 13	162
15102	OR13C7	olfactory receptor family 13 subfamily C member 7 (gene/pseudogene)	Approved	OR13C7P	OST706	9p13.3			OR13	Olfactory receptors, family 13	162
15103	OR13C8	olfactory receptor family 13 subfamily C member 8	Approved			9q31.1			OR13	Olfactory receptors, family 13	162
15104	OR13C9	olfactory receptor family 13 subfamily C member 9	Approved			9q31.1			OR13	Olfactory receptors, family 13	162
14695	OR13D1	olfactory receptor family 13 subfamily D member 1	Approved			9q31.1			OR13	Olfactory receptors, family 13	162
15105	OR13D2P	olfactory receptor family 13 subfamily D member 2 pseudogene	Approved			9q31.1			OR13	Olfactory receptors, family 13	162
15106	OR13D3P	olfactory receptor family 13 subfamily D member 3 pseudogene	Approved			9q31.1			OR13	Olfactory receptors, family 13	162
15107	OR13E1P	olfactory receptor family 13 subfamily E member 1 pseudogene	Approved	OR13E2	OST741	9p13.3			OR13	Olfactory receptors, family 13	162
14723	OR13F1	olfactory receptor family 13 subfamily F member 1	Approved			9q31.1			OR13	Olfactory receptors, family 13	162
14999	OR13G1	olfactory receptor family 13 subfamily G member 1	Approved			1q44	AB065623	NM_001005487	OR13	Olfactory receptors, family 13	162
14755	OR13H1	olfactory receptor family 13 subfamily H member 1	Approved			Xq26.2			OR13	Olfactory receptors, family 13	162
14732	OR13I1P	olfactory receptor family 13 subfamily I member 1 pseudogene	Approved	OR13I2P		9q31.1			OR13	Olfactory receptors, family 13	162
15108	OR13J1	olfactory receptor family 13 subfamily J member 1	Approved			9p13.3			OR13	Olfactory receptors, family 13	162
14721	OR13K1P	olfactory receptor family 13 subfamily K member 1 pseudogene	Approved			Xq26.2			OR13	Olfactory receptors, family 13	162
31240	OR13Z1P	olfactory receptor family 13 subfamily Z member 1 pseudogene	Approved			1q21.1			OR13	Olfactory receptors, family 13	162
31241	OR13Z2P	olfactory receptor family 13 subfamily Z member 2 pseudogene	Approved			1q21.1			OR13	Olfactory receptors, family 13	162
31242	OR13Z3P	olfactory receptor family 13 subfamily Z member 3 pseudogene	Approved			1q21.1			OR13	Olfactory receptors, family 13	162
15022	OR14A16	olfactory receptor family 14 subfamily A member 16	Approved	OR5AT1		1q44	BK004366	NM_001001966	OR14	Olfactory receptors, family 14	163
15024	OR14A2	olfactory receptor family 14 subfamily A member 2	Approved	OR5AX1P, OR5AX1		1q44	AB065620	NG_002409	OR14	Olfactory receptors, family 14	163
15026	OR14C36	olfactory receptor family 14 subfamily C member 36	Approved	OR5BF1		1q44	BK004466	NM_001001918	OR14	Olfactory receptors, family 14	163
19575	OR14I1	olfactory receptor family 14 subfamily I member 1	Approved	OR5BU1P, OR5BU1		1q44		NM_001004734	OR14	Olfactory receptors, family 14	163
13971	OR14J1	olfactory receptor family 14 subfamily J member 1	Approved	OR5U1	hs6M1-28	6p22.1			OR14	Olfactory receptors, family 14	163
15025	OR14K1	olfactory receptor family 14 subfamily K member 1	Approved	OR5AY1		1q44	BK004377	NM_001004732	OR14	Olfactory receptors, family 14	163
15023	OR14L1P	olfactory receptor family 14 subfamily L member 1 pseudogene	Approved	OR5AV1, OR5AV1P		1q44		NG_004286	OR14	Olfactory receptors, family 14	163
8229	OR2A1	olfactory receptor family 2 subfamily A member 1	Approved			7q35			OR2	Olfactory receptors, family 2	149
15082	OR2A12	olfactory receptor family 2 subfamily A member 12	Approved	OR2A12P		7q35			OR2	Olfactory receptors, family 2	149
15083	OR2A13P	olfactory receptor family 2 subfamily A member 13 pseudogene	Approved			7q35			OR2	Olfactory receptors, family 2	149
15084	OR2A14	olfactory receptor family 2 subfamily A member 14	Approved	OR2A14P, OR2A6	OST182	7q35			OR2	Olfactory receptors, family 2	149
15085	OR2A15P	olfactory receptor family 2 subfamily A member 15 pseudogene	Approved	OR2A28P		7q35			OR2	Olfactory receptors, family 2	149
8230	OR2A2	olfactory receptor family 2 subfamily A member 2	Approved	OR2A2P, OR2A17P	OST008	7q35			OR2	Olfactory receptors, family 2	149
15413	OR2A20P	olfactory receptor family 2 subfamily A member 20 pseudogene	Approved	OR2A20		7q35	AI084964		OR2	Olfactory receptors, family 2	149
19562	OR2A25	olfactory receptor family 2 subfamily A member 25	Approved	OR2A25P, OR2A27		7q35			OR2	Olfactory receptors, family 2	149
8231	OR2A3P	olfactory receptor family 2 subfamily A member 3 pseudogene	Approved			7q35			OR2	Olfactory receptors, family 2	149
14729	OR2A4	olfactory receptor family 2 subfamily A member 4	Approved	OR2A10		6q23.2	AC005587	NM_030908	OR2	Olfactory receptors, family 2	149
31246	OR2A41P	olfactory receptor family 2 subfamily A member 41 pseudogene	Approved			7q35			OR2	Olfactory receptors, family 2	149
31230	OR2A42	olfactory receptor family 2 subfamily A member 42	Approved			7q35			OR2	Olfactory receptors, family 2	149
8232	OR2A5	olfactory receptor family 2 subfamily A member 5	Approved	OR2A8, OR2A26	OR7-138, OR7-141	7q35	U86278		OR2	Olfactory receptors, family 2	149
8234	OR2A7	olfactory receptor family 2 subfamily A member 7	Approved		HSDJ0798C17	7q35			OR2	Olfactory receptors, family 2	149
8236	OR2A9P	olfactory receptor family 2 subfamily A member 9 pseudogene	Approved	OR2A9	HSDJ0798C17	7q35			OR2	Olfactory receptors, family 2	149
14749	OR2AD1P	olfactory receptor family 2 subfamily AD member 1 pseudogene	Approved		OR2AD1, hs6M1-8P	6p22.1	Z84476		OR2	Olfactory receptors, family 2	149
15087	OR2AE1	olfactory receptor family 2 subfamily AE member 1	Approved	OR2AE2		7q22.1	AC011904		OR2	Olfactory receptors, family 2	149
14719	OR2AF1P	olfactory receptor family 2 subfamily AF member 1 pseudogene	Approved	OR2AF2P		Xq26.2			OR2	Olfactory receptors, family 2	149
15142	OR2AG1	olfactory receptor family 2 subfamily AG member 1 (gene/pseudogene)	Approved	OR2AG3		11p15.4	AB065823	NM_001004489	OR2	Olfactory receptors, family 2	149
15143	OR2AG2	olfactory receptor family 2 subfamily AG member 2	Approved	OR2AG2P		11p15.4	AB065539	NM_001004490	OR2	Olfactory receptors, family 2	149
15144	OR2AH1P	olfactory receptor family 2 subfamily AH member 1 pseudogene	Approved			11q12.1			OR2	Olfactory receptors, family 2	149
15063	OR2AI1P	olfactory receptor family 2 subfamily AI member 1 pseudogene	Approved			5q35.3	AC025336		OR2	Olfactory receptors, family 2	149
15001	OR2AJ1	olfactory receptor family 2 subfamily AJ member 1	Approved	OR2AJ1P	OR2AJ1Q	1q44		NG_004652	OR2	Olfactory receptors, family 2	149
19569	OR2AK2	olfactory receptor family 2 subfamily AK member 2	Approved	OR2AK1P		1q44	BK004457	NM_001004491	OR2	Olfactory receptors, family 2	149
14712	OR2AL1P	olfactory receptor family 2 subfamily AL member 1 pseudogene	Approved			11q22.3	AC017094		OR2	Olfactory receptors, family 2	149
15113	OR2AM1P	olfactory receptor family 2 subfamily AM member 1 pseudogene	Approved			9p13.3			OR2	Olfactory receptors, family 2	149
31247	OR2AO1P	olfactory receptor family 2 subfamily AO member 1 pseudogene	Approved			7q35			OR2	Olfactory receptors, family 2	149
15335	OR2AP1	olfactory receptor family 2 subfamily AP member 1	Approved	OR2AP1P		12q13.2	BK004260		OR2	Olfactory receptors, family 2	149
15003	OR2AQ1P	olfactory receptor family 2 subfamily AQ member 1 pseudogene	Approved			1q23.1	AP002534		OR2	Olfactory receptors, family 2	149
